20030202 204306000,1.469400,1.468900,0
20030202 204307000,1.469500,1.469000,0
20030202 204311000,1.469600,1.469100,0
20030202 204320000,1.469500,1.469000,0
20030202 204330000,1.469400,1.468900,0
20030202 204338000,1.469500,1.469000,0
20030202 204349000,1.469600,1.469100,0
20030202 204404000,1.469500,1.469000,0
20030202 204515000,1.469400,1.468900,0
20030202 204515000,1.469500,1.469000,0
20030202 205051000,1.469400,1.468900,0
20030202 205119000,1.469300,1.468800,0
20030202 205524000,1.469000,1.468500,0
20030202 205526000,1.469100,1.468600,0
20030202 205529000,1.469200,1.468700,0
20030202 205532000,1.469300,1.468800,0
20030202 210408000,1.469300,1.468800,0
20030202 210421000,1.469200,1.468700,0
20030202 210454000,1.469300,1.468800,0
20030202 210622000,1.469200,1.468700,0
20030202 210624000,1.469300,1.468800,0
20030202 210804000,1.469200,1.468700,0
20030202 210805000,1.469300,1.468800,0
20030202 211031000,1.469400,1.468900,0
20030202 211154000,1.469300,1.468800,0
20030202 211201000,1.469400,1.468900,0
20030202 211211000,1.469300,1.468800,0
20030202 211232000,1.469400,1.468900,0
20030202 211603000,1.469300,1.468800,0
20030202 211613000,1.469400,1.468900,0
20030202 212053000,1.469500,1.469000,0
20030202 212404000,1.469700,1.469200,0
20030202 212418000,1.469600,1.469100,0
20030202 212439000,1.469700,1.469200,0
20030202 212542000,1.469600,1.469100,0
20030202 212556000,1.469700,1.469200,0
20030202 212559000,1.469600,1.469100,0
20030202 213358000,1.469400,1.468900,0
20030202 213415000,1.469300,1.468800,0
20030202 213416000,1.469200,1.468700,0
20030202 213417000,1.469300,1.468800,0
20030202 213418000,1.469200,1.468700,0
20030202 213423000,1.469300,1.468800,0
20030202 213427000,1.469200,1.468700,0
20030202 213445000,1.469200,1.468700,0
20030202 213519000,1.469400,1.468900,0
20030202 213531000,1.469200,1.468700,0
20030202 213551000,1.469400,1.468900,0
20030202 213554000,1.469200,1.468700,0
20030202 213623000,1.469300,1.468800,0
20030202 213637000,1.469100,1.468600,0
20030202 213638000,1.469200,1.468700,0
20030202 213641000,1.469100,1.468600,0
20030202 213645000,1.469200,1.468700,0
20030202 213936000,1.469300,1.468800,0
20030202 213948000,1.469200,1.468700,0
20030202 213959000,1.469300,1.468800,0
20030202 214017000,1.469400,1.468900,0
20030202 214025000,1.469300,1.468800,0
20030202 214103000,1.469400,1.468900,0
20030202 214104000,1.469300,1.468800,0
20030202 214105000,1.469400,1.468900,0
20030202 214132000,1.469400,1.468900,0
20030202 214132000,1.469300,1.468800,0
20030202 214132000,1.469400,1.468900,0
20030202 214140000,1.469300,1.468800,0
20030202 214145000,1.469400,1.468900,0
20030202 214200000,1.469500,1.469000,0
20030202 214202000,1.469400,1.468900,0
20030202 214203000,1.469300,1.468800,0
20030202 214204000,1.469400,1.468900,0
20030202 214206000,1.469500,1.469000,0
20030202 214207000,1.469400,1.468900,0
20030202 214221000,1.469500,1.469000,0
20030202 214221000,1.469400,1.468900,0
20030202 214225000,1.469500,1.469000,0
20030202 214239000,1.469400,1.468900,0
20030202 214242000,1.469500,1.469000,0
20030202 214249000,1.469400,1.468900,0
20030202 214305000,1.469500,1.469000,0
20030202 214306000,1.469400,1.468900,0
20030202 214306000,1.469500,1.469000,0
20030202 214316000,1.469400,1.468900,0
20030202 214316000,1.469500,1.469000,0
20030202 214357000,1.469400,1.468900,0
20030202 214359000,1.469300,1.468800,0
20030202 214400000,1.469400,1.468900,0
20030202 214409000,1.469300,1.468800,0
20030202 214410000,1.469200,1.468700,0
20030202 214411000,1.469100,1.468600,0
20030202 214411000,1.469200,1.468700,0
20030202 214412000,1.469100,1.468600,0
20030202 214413000,1.469200,1.468700,0
20030202 214429000,1.469100,1.468600,0
20030202 214430000,1.469200,1.468700,0
20030202 214430000,1.469100,1.468600,0
20030202 214434000,1.469000,1.468500,0
20030202 214439000,1.469000,1.468500,0
20030202 214440000,1.469100,1.468600,0
20030202 214447000,1.469200,1.468700,0
20030202 214449000,1.469300,1.468800,0
20030202 214452000,1.469400,1.468900,0
20030202 214453000,1.469300,1.468800,0
